gdb-peda$ disas 0x4ac059 (just sent "POST ..")
Dump of assembler code for function httpd_helper_thread:
   0x00000000004abed0 <+0>:	push   r15
   0x00000000004ac2db <+1035>:	movzx  edx,BYTE PTR [rax]
   0x00000000004ac2de <+1038>:	cmp    dl,0x20
   0x00000000004ac2e1 <+1041>:	ja     0x4ac2d8 <httpd_helper_thread+1032>
   0x00000000004ac2e3 <+1043>:	test   dl,dl
   0x00000000004ac2e5 <+1045>:	je     0x4ac036 <httpd_helper_thread+358>
   0x00000000004ac2eb <+1051>:	mov    BYTE PTR [rax],0x0
   0x00000000004ac2ee <+1054>:	jmp    0x4ac036 <httpd_helper_thread+358>
   0x00000000004ac2f3 <+1059>:	test   r12,r12
   0x00000000004ac2f6 <+1062>:	mov    QWORD PTR [rsp+0x20],rax
   0x00000000004ac2fb <+1067>:	mov    r14,rax
   0x00000000004ac2fe <+1070>:	jne    0x4ac277 <httpd_helper_thread+935>
   0x00000000004ac304 <+1076>:	mov    rdi,rbx
   0x00000000004ac307 <+1079>:	call   0x4aaa50 <http_decode>
   0x00000000004ac30c <+1084>:	mov    r8d,0x55e7b6
   0x00000000004ac312 <+1090>:	mov    ecx,0x7aff10
   0x00000000004ac317 <+1095>:	mov    edx,0x55f5ac
   0x00000000004ac31c <+1100>:	mov    esi,0x2c4
   0x00000000004ac321 <+1105>:	mov    edi,0x55e7af
   0x00000000004ac326 <+1110>:	call   0x4b4cf0 <__ast_rwlock_rdlock>
   0x00000000004ac32b <+1115>:	mov    r12,QWORD PTR [rip+0x303bce]        # 0x7aff00 <uri_redirects>
   0x00000000004ac332 <+1122>:	test   r12,r12
   0x00000000004ac335 <+1125>:	jne    0x4ac34d <httpd_helper_thread+1149>
   0x00000000004ac337 <+1127>:	jmp    0x4ac44f <httpd_helper_thread+1407>
   0x00000000004ac33c <+1132>:	nop    DWORD PTR [rax+0x0]
   0x00000000004ac340 <+1136>:	mov    r12,QWORD PTR [r12]
   0x00000000004ac344 <+1140>:	test   r12,r12
   0x00000000004ac347 <+1143>:	je     0x4ac44f <httpd_helper_thread+1407>
   0x00000000004ac34d <+1149>:	lea    rsi,[r12+0x10]
   0x00000000004ac352 <+1154>:	mov    rdi,rbx
   0x00000000004ac355 <+1157>:	call   0x41d950 <strcasecmp@plt>
   0x00000000004ac35a <+1162>:	test   eax,eax
   0x00000000004ac35c <+1164>:	jne    0x4ac340 <httpd_helper_thread+1136>
   0x00000000004ac35e <+1166>:	mov    esi,0x98
   0x00000000004ac363 <+1171>:	mov    edi,0x1
   0x00000000004ac368 <+1176>:	call   0x41d4c0 <calloc@plt>
   0x00000000004ac36d <+1181>:	test   rax,rax
   0x00000000004ac370 <+1184>:	mov    rbx,rax
   0x00000000004ac373 <+1187>:	je     0x4ac662 <httpd_helper_thread+1938>
   0x00000000004ac379 <+1193>:	mov    QWORD PTR [rax],0x80
   0x00000000004ac380 <+1200>:	mov    QWORD PTR [rax+0x8],0x0
   0x00000000004ac388 <+1208>:	mov    QWORD PTR [rax+0x10],0x1
   0x00000000004ac390 <+1216>:	mov    rcx,QWORD PTR [r12+0x8]
   0x00000000004ac395 <+1221>:	lea    rdi,[rsp+0x38]
   0x00000000004ac39a <+1226>:	mov    edx,0x55e978
   0x00000000004ac39f <+1231>:	xor    esi,esi
   0x00000000004ac3a1 <+1233>:	xor    eax,eax
   0x00000000004ac3a3 <+1235>:	mov    QWORD PTR [rsp+0x38],rbx
   0x00000000004ac3a8 <+1240>:	call   0x517740 <ast_str_set>
   0x00000000004ac3ad <+1245>:	mov    r8,QWORD PTR [rsp+0x38]
   0x00000000004ac3b2 <+1250>:	mov    esi,DWORD PTR [rsp+0x2c]
   0x00000000004ac3b6 <+1254>:	mov    ecx,0x55e987
   0x00000000004ac3bb <+1259>:	mov    edx,0x12e
   0x00000000004ac3c0 <+1264>:	mov    rdi,rbp
   0x00000000004ac3c3 <+1267>:	xor    r9d,r9d
   0x00000000004ac3c6 <+1270>:	mov    DWORD PTR [rsp+0x8],0x0
   0x00000000004ac3ce <+1278>:	mov    DWORD PTR [rsp],0x0
   0x00000000004ac3d5 <+1285>:	call   0x4ab820 <ast_http_send>
   0x00000000004ac3da <+1290>:	mov    r8d,0x55e7b6
   0x00000000004ac3e0 <+1296>:	mov    ecx,0x7aff10
   0x00000000004ac3e5 <+1301>:	mov    edx,0x55f5ac
   0x00000000004ac3ea <+1306>:	mov    esi,0x2ce
   0x00000000004ac3ef <+1311>:	mov    edi,0x55e7af
   0x00000000004ac3f4 <+1316>:	call   0x4b4ce0 <__ast_rwlock_unlock>
   0x00000000004ac3f9 <+1321>:	mov    rdi,r14
   0x00000000004ac3fc <+1324>:	call   0x474870 <ast_variables_destroy>
   0x00000000004ac401 <+1329>:	jmp    0x4ac0ea <httpd_helper_thread+538>
   0x00000000004ac406 <+1334>:	call   0x474030 <ast_variable_new>
   0x00000000004ac40b <+1339>:	mov    r13,rax
   0x00000000004ac40e <+1342>:	mov    r14,rax
   0x00000000004ac411 <+1345>:	jmp    0x4ac048 <httpd_helper_thread+376>
   0x00000000004ac416 <+1350>:	mov    edi,0x5475d7
   0x00000000004ac41b <+1355>:	call   0x470400 <ast_debug_get_by_module>
   0x00000000004ac420 <+1360>:	cmp    eax,0x1
   0x00000000004ac423 <+1363>:	jbe    0x4ac1fc <httpd_helper_thread+812>
   0x00000000004ac429 <+1369>:	mov    r9,rbx
   0x00000000004ac42c <+1372>:	mov    r8d,0x55e95f
   0x00000000004ac432 <+1378>:	mov    ecx,0x55f5ac
   0x00000000004ac437 <+1383>:	mov    edx,0x2a9
   0x00000000004ac43c <+1388>:	mov    esi,0x55e7af
   0x00000000004ac441 <+1393>:	xor    edi,edi
   0x00000000004ac443 <+1395>:	xor    eax,eax
   0x00000000004ac445 <+1397>:	call   0x4b5bf0 <ast_log>
   0x00000000004ac44a <+1402>:	jmp    0x4ac1fc <httpd_helper_thread+812>
   0x00000000004ac44f <+1407>:	mov    r8d,0x55e7b6
   0x00000000004ac455 <+1413>:	mov    ecx,0x7aff10
   0x00000000004ac45a <+1418>:	mov    edx,0x55f5ac
   0x00000000004ac45f <+1423>:	mov    esi,0x2ce
   0x00000000004ac464 <+1428>:	mov    edi,0x55e7af
   0x00000000004ac469 <+1433>:	mov    r12d,0x7c88c0
   0x00000000004ac46f <+1439>:	call   0x4b4ce0 <__ast_rwlock_unlock>
   0x00000000004ac474 <+1444>:	mov    edx,DWORD PTR [r12]
   0x00000000004ac478 <+1448>:	add    r12,0x4
   0x00000000004ac47c <+1452>:	lea    eax,[rdx-0x1010101]
   0x00000000004ac482 <+1458>:	not    edx
   0x00000000004ac484 <+1460>:	and    eax,edx
   0x00000000004ac486 <+1462>:	and    eax,0x80808080
   0x00000000004ac48b <+1467>:	je     0x4ac474 <httpd_helper_thread+1444>
   0x00000000004ac48d <+1469>:	mov    edx,eax
   0x00000000004ac48f <+1471>:	mov    esi,0x7c88c0
   0x00000000004ac494 <+1476>:	mov    rdi,rbx
   0x00000000004ac497 <+1479>:	shr    edx,0x10
   0x00000000004ac49a <+1482>:	test   eax,0x8080
   0x00000000004ac49f <+1487>:	cmove  eax,edx
   0x00000000004ac4a2 <+1490>:	lea    rdx,[r12+0x2]
   0x00000000004ac4a7 <+1495>:	cmove  r12,rdx
   0x00000000004ac4ab <+1499>:	add    al,al
   0x00000000004ac4ad <+1501>:	sbb    r12,0x3
   0x00000000004ac4b1 <+1505>:	sub    r12,0x7c88c0
   0x00000000004ac4b8 <+1512>:	movsxd r15,r12d
   0x00000000004ac4bb <+1515>:	mov    rdx,r15
   0x00000000004ac4be <+1518>:	call   0x41dc20 <strncasecmp@plt>
   0x00000000004ac4c3 <+1523>:	test   eax,eax
   0x00000000004ac4c5 <+1525>:	je     0x4ac4e8 <httpd_helper_thread+1560>
   0x00000000004ac4c7 <+1527>:	mov    ecx,0x55ef60
   0x00000000004ac4cc <+1532>:	mov    edx,0x55e999
   0x00000000004ac4d1 <+1537>:	mov    esi,0x194
   0x00000000004ac4d6 <+1542>:	mov    rdi,rbp
   0x00000000004ac4d9 <+1545>:	call   0x4abcf0 <ast_http_error>
   0x00000000004ac4de <+1550>:	jmp    0x4ac3f9 <httpd_helper_thread+1321>
   0x00000000004ac4e3 <+1555>:	nop    DWORD PTR [rax+rax*1+0x0]
   0x00000000004ac4e8 <+1560>:	cmp    BYTE PTR [rbx+r15*1],0x2f
   0x00000000004ac4ed <+1565>:	jne    0x4ac4c7 <httpd_helper_thread+1527>
   0x00000000004ac4ef <+1567>:	lea    r15,[rbx+r15*1+0x1]
   0x00000000004ac4f4 <+1572>:	mov    r8d,0x55e827
   0x00000000004ac4fa <+1578>:	mov    ecx,0x7afa70
   0x00000000004ac4ff <+1583>:	mov    edx,0x55f5ac
   0x00000000004ac504 <+1588>:	mov    esi,0x2d8
   0x00000000004ac509 <+1593>:	mov    edi,0x55e7af
   0x00000000004ac50e <+1598>:	mov    QWORD PTR [rsp+0x18],r15
   0x00000000004ac513 <+1603>:	call   0x4b4cf0 <__ast_rwlock_rdlock>
   0x00000000004ac518 <+1608>:	mov    rbx,QWORD PTR [rip+0x303541]        # 0x7afa60 <uris>
   0x00000000004ac51f <+1615>:	test   rbx,rbx
   0x00000000004ac522 <+1618>:	jne    0x4ac59f <httpd_helper_thread+1743>
